"artist_name","cnts","popularity_average"
"Maximillian","4","46.75"
"R3HAB","4","46.25"
"Number9ok","4","42.75"
"Pink Sweat$","4","67.50"
"David Guetta","4","70.00"
"Dj Guuga","4","71.00"
"LPB Poody","4","54.00"
"J Balvin","4","76.00"
"DJ Rowel","4","44.00"
"KAROL G","4","81.25"
"Yayoi","4","52.50"
"Silent Sanctuary","4","59.75"
"50 Cent","4","76.50"
"Melanie Martinez","4","79.25"
"Pascal Letoublon","4","63.25"
"Nanda Lia","4","21.75"
"Soulstice","4","50.00"
"Sista Prod","4","19.00"
"LIZOT","4","49.00"
"Octavian","4","71.50"
"DJ Drobitussin","4","42.25"
"Jason Derulo","4","73.75"
"MC Virgins","4","67.50"
"PUBLIC","4","75.00"
"Don Diablo","4","60.00"
"Cookiee Kawaii","4","14.25"
"JM Bales","4","63.75"
"MOTi","4","45.75"
"Macaulay Sulkin","4","36.50"
"HL Wave","4","38.25"
"Ir Sais","4","69.50"
"Moira Dela Torre","4","61.75"
"King Badger","4","55.00"
"Erica Banks","4","53.25"
"Karencitta","4","45.75"
"Klaas","4","44.50"
"Busta Rhymes","4","59.75"
"Giveon","4","92.00"
"J Swey","4","38.25"
"Yumi Lacsamana","4","44.00"
"oxy_gin","4","42.25"
"Johnny Orlando","4","61.75"
"Sarah Geronimo","4","59.00"
"This Band","4","55.00"
"OpenSoul","4","24.25"
"Viva Hot Babes","4","36.00"
"Lil Vinceyy","4","57.00"
"CJ","4","72.25"
"Nathan Evans","4","80.00"
"ElyOtto","4","74.00"
"Mak Sauce","4","33.25"
"BENEE","4","72.00"
"United Idol","4","13.25"
"Dean Lewis","4","72.00"
"WhoHeem","4","33.75"
"Thyro","4","67.75"
"Natalie Taylor","4","73.25"
"Akon","4","68.75"
"Coldplay","4","82.00"
"Frank Ocean","4","76.25"
"MOL$","4","51.25"
"Metro Boomin","4","78.75"
"Mariah Carey","4","68.25"
"Dro Kenji","4","56.75"
"MEDUZA","4","84.50"
"Daddy Yankee","4","79.25"
"City Girls","4","54.25"
"Vanfire","4","12.50"
"A5H","4","35.00"
"Aaron Smith","4","78.25"
"SALES","4","67.00"
"Masego","3","71.00"
"Dame Dame","3","36.00"
"Lil Yachty","3","63.33"
"Coco Lense","3","47.00"
"Stunt DeGrate","3","40.00"
"Ricky Montgomery","3","19.33"
"Latto","3","61.00"
"Ava Max","3","15.67"
"Gryffin","3","65.33"
"Carly Rae Jepsen","3","73.00"
"Ben&Ben","3","67.33"
"Zum","3","50.00"
"Mark Carpio","3","53.00"
"EZRA","3","66.67"
"Forrest.","3","58.33"
"Run–D.M.C.","3","73.00"
