"speechiness","track_name"
"0.0913","Astronaut In the Ocean"
"0.0913","Astronaut In The Ocean"
"0.173","Astronaut In The Ocean"
"0.092","Astronaut In The Ocean"
"0.199","Astronaut in the Ocean - Female Version"
"0.121","Astronaut in the Ocean (Female Dance Remix)"
"0.096","Astronomia"
"0.0669","Astronomia - Never Go Home"
"0.0349","At My Worst"
"0.0466","Atas Bawah - Remix"
"0.071","ATENÇÃO"
"0.131","Attention"
"0.0838","Attitude"
"0.28","Automotivo de Paraisopolis"
"0.0381","Awaken"
"0.042","Awas Ada Petasan"
"0.0358","Away"
"0.0466","Awitin Mo, Isasayaw Ko"
"0.0412","Axel F - Radio Edit"
"0.0732","Ay Mi Pendejo"
"0.15","Ay Rico Rico Rico - Tik Tok Mix"
"0.11","Ay Rico Rico Vs Culo"
"0.174","Ay, DiOs Mío!"
"0.0508","Aya"
"0.0974","Ayegirl"
"0.129","Ayo Technology - Dimitri Vegas Edit"
"0.226","Ayy Macarena"
"0.0695","Azul"
"0.699","B*tch From Da Souf"
"0.106","B.S."
"0.137","Baby"
"0.315","Baby Birkin"
"0.189","Baby Come Give Me Something New"
"0.0307","Baby Don't Cut Your Hair For Anyone"
"0.0668","Baby I'm Yours"
"0.118","Baby It's You - 2018"
"0.0535","Baby Ko Si Kulot"
"0.265","BabyWipe"
"0.0458","Back Around"
"0.112","Back End"
"0.384","Back In Blood (feat. Lil Durk)"
"0.142","Back It Up"
"0.0908","Back to the Beat"
"0.0507","Back to You"
"0.142","Back to You (feat. Bebe Rexha & Digital Farm Animals)"
"0.338","Back Up (feat. Big Sean)"
"0.189","Backyard Boy"
"0.162","Backyard Boy"
"0.0732","Bad"
"0.0388","Bad boy"
"0.0728","Bad Boy"
"0.123","Bad Boy (with Wiz Khalifa, bbno$, MAX)"
"0.0533","Bad Boy (with Young Thug)"
"0.0314","Bad Day"
"0.375","bad guy"
"0.24","Bad Habits"
"0.123","Bad Habits (Slowed + Reverb)"
"0.0531","Bad Karma"
"0.0434","Bad Liar"
"0.0285","Bad Liar"
"0.0583","Bad Plan"
"0.0602","Bad to You"
"0.273","Bag Boy - Lo-Fi Remix"
"0.546","Bag Up"
"0.0401","Bagaikan Langit - Remix Version"
"0.115","Bagaikan Langit Di Sore Hari"
"0.0517","Bagaikan Langit Di Sore hari - Remix"
"0.163","Bagay Tayo"
"0.114","Baila"
"0.123","Baila Baila Baila - Remix"
"0.113","Baila Conmigo"
"0.0662","Baka Di Tayo"
"0.0676","Bakery"
"0.0284","Bakit Ba Ikaw"
"0.178","Bakugo!"
"0.0345","Balang Araw"
"0.0454","Baliw Sayo (feat. Bosx1ne)"
"0.0735","Ballin' (with Roddy Ricch)"
"0.0374","Ballooning"
"0.18","Bam Bam Bam"
"0.227","Bambambam"
"0.213","BamBamBam"
"0.245","Banana (feat. Shaggy)"
"0.177","Banana (feat. Shaggy) - DJ FLe - Minisiren Remix"
"0.0887","Bandido"
"0.0847","Bandido - Female Version"
"0.0534","BANG BANG BANG"
"0.0304","Bang Bang Bang Bang"
"0.0506","Bang!"
"0.0507","Bang!"
"0.0974","Banho de Leite - Remix"
"0.0578","Bank Account Slowed - Remix"
"0.264","Bark"
"0.312","Barking"
"0.0628","Bartender (feat. Akon)"
"0.181","Bartier Cardi (feat. 21 Savage)"
"0.0288","Basang-Basa Sa Ulan"
"0.105","Bassdrum"
"0.271","Bassthoven"
"0.0985","Bat Ngayon?, Pt.1"
"0.268","Batman"
"0.0804","Bawal Lumabas - The Classroom Song"
"0.219","Bazooka"
"0.0362","Be Alright"
"0.0621","Be Around Me"
"0.12","Be Gone Thot!"
"0.12","Be Happy"
"0.119","Be Happy"
"0.0302","Be Kind"
"0.0457","Be Kind (with Halsey)"
"0.0726","Be Like That - feat. Swae Lee & Khalid"
"0.458","Be Like That - Female Version"
"0.35","Beat Box"
"0.394","Beat Box (feat. Young M.A) - Freestyle"
"0.245","Beat Box 2"
